Learning Area,Element,Sub-element,Progression level,Progression level name / stage name,Subheading,Indicator ID,Indicator order,Indicator text (verbatim),Indicator text (no examples),Example / elaboration,Relevant – Foundation,Relevant – Year 1,Relevant – Year 2,Relevant – Year 3,Relevant – Year 4,Relevant – Year 5,Relevant – Year 6,Relevant – Year 7,Relevant – Year 8,Relevant – Year 9,Relevant – Year 10
Literacy,Speaking and listening,Listening,Level 3,,,LP9-SL-LIST-Level3-04,4,"asks what, when, why questions about a text they have listened to","asks what, when, why questions about a text they have listened to",,Yes,Yes,,,,,,,,,
Literacy,Speaking and listening,Listening,Level 3,,,LP9-SL-LIST-Level3-05,5,"uses facial expressions, gestures or actions to indicate understanding of tone and intonation","uses facial expressions, gestures or actions to indicate understanding of tone and intonation",,Yes,Yes,,,,,,,,,
Literacy,Speaking and listening,Listening,Level 3,,,LP9-SL-LIST-Level3-06,6,"discriminates individual words in a short, spoken sentence (e.g. identifies ""lunchtime"" in ""the meeting for the excursion is at lunchtime"")","discriminates individual words in a short, spoken sentence","e.g. identifies ""lunchtime"" in ""the meeting for the excursion is at lunchtime""",Yes,Yes,,,,,,,,,
Literacy,Speaking and listening,Listening,Level 3,,,LP9-SL-LIST-Level3-07,7,"describes familiar objects and actions heard in a text or interaction (e.g. ""the chicken ate the bug"")",describes familiar objects and actions heard in a text or interaction,"e.g. ""the chicken ate the bug""",Yes,Yes,,,,,,,,,
Literacy,Speaking and listening,Listening,Level 3,,,LP9-SL-LIST-Level3-08,8,"accurately repeats, short phrases and statements from a short text or interaction","accurately repeats, short phrases and statements from a short text or interaction",,Yes,Yes,,,,,,,,,
Literacy,Speaking and listening,Listening,Level 3,,,LP9-SL-LIST-Level3-09,9,recognises and generates one-syllable rhyming words (see Phonological awareness),recognises and generates one-syllable rhyming words (see Phonological awareness),,Yes,Yes,,,,,,,,,
Literacy,Speaking and listening,Listening,Level 4,,,LP9-SL-LIST-Level4-01,1,responds to simple and elementary texts (see Text complexity),responds to simple and elementary texts (see Text complexity),,,,Yes,Yes,,,,,,,
Literacy,Speaking and listening,Listening,Level 4,,,LP9-SL-LIST-Level4-02,2,recalls specific information from a spoken text (e.g. recalls a message from a school assembly announcement),recalls specific information from a spoken text,e.g. recalls a message from a school assembly announcement,,,Yes,Yes,,,,,,,
Literacy,Speaking and listening,Listening,Level 4,,,LP9-SL-LIST-Level4-03,3,answers literal and simple inferential questions from a text they have listened to,answers literal and simple inferential questions from a text they have listened to,,,,Yes,Yes,,,,,,,
Literacy,Speaking and listening,Listening,Level 4,,,LP9-SL-LIST-Level4-04,4,"infers obvious meaning from a simple, spoken text (e.g. identifies character’s job as a sales assistant from dialogue with a shopper)","infers obvious meaning from a simple, spoken text",e.g. identifies character’s job as a sales assistant from dialogue with a shopper,,,Yes,Yes,,,,,,,
Literacy,Speaking and listening,Listening,Level 4,,,LP9-SL-LIST-Level4-05,5,"experiments with a small range of listening strategies (e.g. asks speaker to repeat information, if unclear)",experiments with a small range of listening strategies,"e.g. asks speaker to repeat information, if unclear",,,Yes,Yes,,,,,,,
Literacy,Speaking and listening,Listening,Level 4,,,LP9-SL-LIST-Level4-06,6,uses learnt vocabulary and simple adjectives to recount key ideas from heard text,uses learnt vocabulary and simple adjectives to recount key ideas from heard text,,,,Yes,Yes,,,,,,,
Literacy,Speaking and listening,Listening,Level 5,,,LP9-SL-LIST-Level5-01,1,responds to elementary texts (see Text complexity),responds to elementary texts (see Text complexity),,,,,Yes,Yes,,,,,,
Literacy,Speaking and listening,Listening,Level 5,,,LP9-SL-LIST-Level5-02,2,listens purposefully to texts to identify specific learning area content,listens purposefully to texts to identify specific learning area content,,,,,Yes,Yes,,,,,,
Literacy,Speaking and listening,Listening,Level 5,,,LP9-SL-LIST-Level5-03,3,recalls specific information from a learning area text,recalls specific information from a learning area text,,,,,Yes,Yes,,,,,,
Literacy,Speaking and listening,Listening,Level 5,,,LP9-SL-LIST-Level5-04,4,attends to sequence when recounting ideas,attends to sequence when recounting ideas,,,,,Yes,Yes,,,,,,
Literacy,Speaking and listening,Listening,Level 5,,,LP9-SL-LIST-Level5-05,5,infers meaning that may be less obvious (e.g. infers beach context from hearing background sounds of seagulls and surf),infers meaning that may be less obvious,e.g. infers beach context from hearing background sounds of seagulls and surf,,,,Yes,Yes,,,,,,
Literacy,Speaking and listening,Listening,Level 5,,,LP9-SL-LIST-Level5-06,6,"describes tone and intonation of spoken text (e.g. ""she spoke with an angry tone"")",describes tone and intonation of spoken text,"e.g. ""she spoke with an angry tone""",,,,Yes,Yes,,,,,,
Literacy,Speaking and listening,Listening,Level 5,,,LP9-SL-LIST-Level5-07,7,retells a familiar story with some possible minor adaptations,retells a familiar story with some possible minor adaptations,,,,,Yes,Yes,,,,,,
Literacy,Speaking and listening,Listening,Level 5,,,LP9-SL-LIST-Level5-08,8,"selects appropriate listening strategies (e.g. asking questions to elicit extra information, rephrasing others’ contributions to check own comprehension)",selects appropriate listening strategies,"e.g. asking questions to elicit extra information, rephrasing others’ contributions to check own comprehension",,,,Yes,Yes,,,,,,
Literacy,Speaking and listening,Listening,Level 5,,,LP9-SL-LIST-Level5-09,9,"listens for cohesive vocabulary to support comprehension (e.g. listens for temporal connectives such as “first”, “then”, “finally”, and connectives such as “also” to understand staging of a text)",listens for cohesive vocabulary to support comprehension,"e.g. listens for temporal connectives such as “first”, “then”, “finally”, and connectives such as “also” to understand staging of a text",,,,Yes,Yes,,,,,,
Literacy,Speaking and listening,Listening,Level 6,,,LP9-SL-LIST-Level6-01,1,responds to moderately complex texts (see Text complexity),responds to moderately complex texts (see Text complexity),,,,,,,Yes,Yes,,,,
Literacy,Speaking and listening,Listening,Level 6,,,LP9-SL-LIST-Level6-02,2,responds to texts with unfamiliar content,responds to texts with unfamiliar content,,,,,,,Yes,Yes,,,,
Literacy,Speaking and listening,Listening,Level 6,,,LP9-SL-LIST-Level6-03,3,identifies main ideas of a spoken text using supporting details,identifies main ideas of a spoken text using supporting details,,,,,,,Yes,Yes,,,,
Literacy,Speaking and listening,Listening,Level 6,,,LP9-SL-LIST-Level6-04,4,identifies purpose and intended audience of a spoken text,identifies purpose and intended audience of a spoken text,,,,,,,Yes,Yes,,,,
Literacy,Speaking and listening,Listening,Level 6,,,LP9-SL-LIST-Level6-05,5,infers layered meaning from texts (e.g. musical overlay that creates mood),infers layered meaning from texts,e.g. musical overlay that creates mood,,,,,,Yes,Yes,,,,
Literacy,Speaking and listening,Listening,Level 6,,,LP9-SL-LIST-Level6-06,6,asks relevant questions to extend understanding,asks relevant questions to extend understanding,,,,,,,Yes,Yes,,,,
Literacy,Speaking and listening,Listening,Level 6,,,LP9-SL-LIST-Level6-07,7,describes language and audio features of the text,describes language and audio features of the text,,,,,,,Yes,Yes,,,,
Literacy,Speaking and listening,Listening,Level 7,,,LP9-SL-LIST-Level7-01,1,responds to complex texts (see Text complexity),responds to complex texts (see Text complexity),,,,,,,,Yes,Yes,,,
Literacy,Speaking and listening,Listening,Level 7,,,LP9-SL-LIST-Level7-02,2,identifies and analyses how spoken language is used for different effects,identifies and analyses how spoken language is used for different effects,,,,,,,,Yes,Yes,,,
Literacy,Speaking and listening,Listening,Level 7,,,LP9-SL-LIST-Level7-03,3,"explains the use of intonation, pausing, rhythm and phrasing to give emphasis and weight to ideas","explains the use of intonation, pausing, rhythm and phrasing to give emphasis and weight to ideas",,,,,,,,Yes,Yes,,,
Literacy,Speaking and listening,Listening,Level 7,,,LP9-SL-LIST-Level7-04,4,selects appropriate listening strategies for planned and unplanned situations (e.g. records and organises information from a text in a table or with detailed notes),selects appropriate listening strategies for planned and unplanned situations,e.g. records and organises information from a text in a table or with detailed notes,,,,,,,Yes,Yes,,,
Literacy,Speaking and listening,Listening,Level 7,,,LP9-SL-LIST-Level7-05,5,explains how vocabulary is used for impact on the target audience,explains how vocabulary is used for impact on the target audience,,,,,,,,Yes,Yes,,,
Literacy,Speaking and listening,Listening,Level 8,,,LP9-SL-LIST-Level8-01,1,responds to highly complex texts (see Text complexity),responds to highly complex texts (see Text complexity),,,,,,,,,,Yes,Yes,Yes
Literacy,Speaking and listening,Listening,Level 8,,,LP9-SL-LIST-Level8-02,2,identifies and paraphrases key points of a speaker’s arguments,identifies and paraphrases key points of a speaker’s arguments,,,,,,,,,,Yes,Yes,Yes
Literacy,Speaking and listening,Listening,Level 8,,,LP9-SL-LIST-Level8-03,3,"describes how listening skills should be applied, according to purpose","describes how listening skills should be applied, according to purpose",,,,,,,,,,Yes,Yes,Yes
Literacy,Speaking and listening,Listening,Level 8,,,LP9-SL-LIST-Level8-04,4,evaluates strategies used by the speaker to elicit emotional responses,evaluates strategies used by the speaker to elicit emotional responses,,,,,,,,,,Yes,Yes,Yes
Literacy,Speaking and listening,Listening,Level 8,,,LP9-SL-LIST-Level8-05,5,"explains any shift in direction, line of argument or purpose made by the speaker","explains any shift in direction, line of argument or purpose made by the speaker",,,,,,,,,,Yes,Yes,Yes
Literacy,Speaking and listening,Listening,Level 8,,,LP9-SL-LIST-Level8-06,6,adopts and re-uses complex abstractions heard in texts,adopts and re-uses complex abstractions heard in texts,,,,,,,,,,Yes,Yes,Yes
Literacy,Speaking and listening,Listening,Level 8,,,LP9-SL-LIST-Level8-07,7,explains how speakers’ language can be inclusive or alienating (e.g. a speaker using language which is only readily understood by certain user groups such as teenagers or people involved in particular pastimes),explains how speakers’ language can be inclusive or alienating,e.g. a speaker using language which is only readily understood by certain user groups such as teenagers or people involved in particular pastimes,,,,,,,,,Yes,Yes,Yes
Literacy,Speaking and listening,Interacting,Level 1a,,,LP9-SL-INT-Level1a-01,1,"interacts using informal behaviours to express a feeling or need (e.g. vocalising, moving, using facial expressions)",interacts using informal behaviours to express a feeling or need,"e.g. vocalising, moving, using facial expressions",Yes,,,,,,,,,,
Literacy,Speaking and listening,Interacting,Level 1b,,,LP9-SL-INT-Level1b-01,1,interacts purposefully with familiar people (e.g. refuse or request),interacts purposefully with familiar people,e.g. refuse or request,Yes,,,,,,,,,,
Literacy,Speaking and listening,Interacting,Level 1,,,LP9-SL-INT-Level1-01,1,shares simple ideas with peers,shares simple ideas with peers,,Yes,,,,,,,,,,
Literacy,Speaking and listening,Interacting,Level 1,,,LP9-SL-INT-Level1-02,2,responds to questions in class discussion using non-verbal responses (e.g. nodding),responds to questions in class discussion using non-verbal responses,e.g. nodding,Yes,,,,,,,,,,
Literacy,Speaking and listening,Interacting,Level 1,,,LP9-SL-INT-Level1-03,3,listens without interrupting (see Listening),listens without interrupting (see Listening),,Yes,,,,,,,,,,
Literacy,Speaking and listening,Interacting,Level 1,,,LP9-SL-INT-Level1-04,4,uses home language or dialect to interact with familiar peers and adults,uses home language or dialect to interact with familiar peers and adults,,Yes,,,,,,,,,,
Literacy,Speaking and listening,Interacting,Level 2,,,LP9-SL-INT-Level2-01,1,contributes simple ideas and opinions to class or small group discussions,contributes simple ideas and opinions to class or small group discussions,,Yes,,,,,,,,,,
Literacy,Speaking and listening,Interacting,Level 2,,,LP9-SL-INT-Level2-02,2,"shows signs of active listening, by sustaining attention across a short, spoken text","shows signs of active listening, by sustaining attention across a short, spoken text",,Yes,,,,,,,,,,
Literacy,Speaking and listening,Interacting,Level 2,,,LP9-SL-INT-Level2-03,3,shows beginning awareness of discussion conventions (e.g. pauses when another speaker starts),shows beginning awareness of discussion conventions,e.g. pauses when another speaker starts,Yes,,,,,,,,,,
Literacy,Speaking and listening,Interacting,Level 2,,,LP9-SL-INT-Level2-04,4,uses appropriate language or dialect to interact with speakers of the same language,uses appropriate language or dialect to interact with speakers of the same language,,Yes,,,,,,,,,,
Literacy,Speaking and listening,Interacting,Level 3,,,LP9-SL-INT-Level3-01,1,listens actively to stay on topic in a small group discussion,listens actively to stay on topic in a small group discussion,,,Yes,Yes,,,,,,,,
Literacy,Speaking and listening,Interacting,Level 3,,,LP9-SL-INT-Level3-02,2,takes an active role in small group and whole-class discussion by volunteering ideas and opinions,takes an active role in small group and whole-class discussion by volunteering ideas and opinions,,,Yes,Yes,,,,,,,,
Literacy,Speaking and listening,Interacting,Level 3,,,LP9-SL-INT-Level3-03,3,"asks relevant questions for clarification or to find out others’ ideas (e.g. ""What do you think about that?"")",asks relevant questions for clarification or to find out others’ ideas,"e.g. ""What do you think about that?""",,Yes,Yes,,,,,,,,
Literacy,Speaking and listening,Interacting,Level 3,,,LP9-SL-INT-Level3-04,4,takes turns in interactions,takes turns in interactions,,,Yes,Yes,,,,,,,,
Literacy,Speaking and listening,Interacting,Level 3,,,LP9-SL-INT-Level3-05,5,interacts using appropriate language in pairs or a small group to complete tasks,interacts using appropriate language in pairs or a small group to complete tasks,,,Yes,Yes,,,,,,,,
Literacy,Speaking and listening,Interacting,Level 4,,,LP9-SL-INT-Level4-01,1,interacts to extend and elaborate ideas in a discussion (e.g. provides an additional example),interacts to extend and elaborate ideas in a discussion,e.g. provides an additional example,,,,Yes,Yes,,,,,,
Literacy,Speaking and listening,Interacting,Level 4,,,LP9-SL-INT-Level4-02,2,presents simple ideas clearly in group situations,presents simple ideas clearly in group situations,,,,,Yes,Yes,,,,,,
Literacy,Speaking and listening,Interacting,Level 4,,,LP9-SL-INT-Level4-03,3,actively encourages or supports other speakers,actively encourages or supports other speakers,,,,,Yes,Yes,,,,,,
Literacy,Speaking and listening,Interacting,Level 4,,,LP9-SL-INT-Level4-04,4,shows awareness of discussion conventions (e.g. uses appropriate language to express agreement and disagreement in class discussions),shows awareness of discussion conventions,e.g. uses appropriate language to express agreement and disagreement in class discussions,,,,Yes,Yes,,,,,,
Literacy,Speaking and listening,Interacting,Level 4,,,LP9-SL-INT-Level4-05,5,"uses language to initiate interactions in a small group situation (e.g. ""I have an idea"")",uses language to initiate interactions in a small group situation,"e.g. ""I have an idea""",,,,Yes,Yes,,,,,,
Literacy,Speaking and listening,Interacting,Level 5,,,LP9-SL-INT-Level5-01,1,critically evaluate ideas and claims made by a speaker,critically evaluate ideas and claims made by a speaker,,,,,,Yes,Yes,Yes,,,,
Literacy,Speaking and listening,Interacting,Level 5,,,LP9-SL-INT-Level5-02,2,explains new learning from interacting with others,explains new learning from interacting with others,,,,,,Yes,Yes,Yes,,,,
Literacy,Speaking and listening,Interacting,Level 5,,,LP9-SL-INT-Level5-03,3,appropriately presents an alternative point to the previous speaker,appropriately presents an alternative point to the previous speaker,,,,,,Yes,Yes,Yes,,,,
Literacy,Speaking and listening,Interacting,Level 5,,,LP9-SL-INT-Level5-04,4,initiates interactions confidently in group and whole-class discussions,initiates interactions confidently in group and whole-class discussions,,,,,,Yes,Yes,Yes,,,,
Literacy,Speaking and listening,Interacting,Level 5,,,LP9-SL-INT-Level5-05,5,poses pertinent questions to make connections between a range of ideas,poses pertinent questions to make connections between a range of ideas,,,,,,Yes,Yes,Yes,,,,
Literacy,Speaking and listening,Interacting,Level 5,,,LP9-SL-INT-Level5-06,6,uses open questions to prompt a speaker to provide more information,uses open questions to prompt a speaker to provide more information,,,,,,Yes,Yes,Yes,,,,
Literacy,Speaking and listening,Interacting,Level 5,,,LP9-SL-INT-Level5-07,7,clarifies task goals and negotiates roles in group learning,clarifies task goals and negotiates roles in group learning,,,,,,Yes,Yes,Yes,,,,
Literacy,Speaking and listening,Interacting,Level 5,,,LP9-SL-INT-Level5-08,8,monitors discussion to manage digression from the topic,monitors discussion to manage digression from the topic,,,,,,Yes,Yes,Yes,,,,
Literacy,Speaking and listening,Interacting,Level 5,,,LP9-SL-INT-Level5-09,9,"identifies and articulates the perspective of a speaker, to move a conversation forward","identifies and articulates the perspective of a speaker, to move a conversation forward",,,,,,Yes,Yes,Yes,,,,
Literacy,Speaking and listening,Interacting,Level 6,,,LP9-SL-INT-Level6-01,1,"interacts within school context or the broader community, adjusting language and responses to suit purpose and audience","interacts within school context or the broader community, adjusting language and responses to suit purpose and audience",,,,,,,,Yes,Yes,,,
Literacy,Speaking and listening,Interacting,Level 6,,,LP9-SL-INT-Level6-02,2,synthesises ideas from group discussion into a common theme or hypothesis,synthesises ideas from group discussion into a common theme or hypothesis,,,,,,,,Yes,Yes,,,
Literacy,Speaking and listening,Interacting,Level 6,,,LP9-SL-INT-Level6-03,3,"poses problems, hypothesises and formulates questions about abstract ideas in group situations","poses problems, hypothesises and formulates questions about abstract ideas in group situations",,,,,,,,Yes,Yes,,,
Literacy,Speaking and listening,Interacting,Level 6,,,LP9-SL-INT-Level6-04,4,restates different views and makes suggestions to negotiate agreement,restates different views and makes suggestions to negotiate agreement,,,,,,,,Yes,Yes,,,
Literacy,Speaking and listening,Interacting,Level 6,,,LP9-SL-INT-Level6-05,5,poses questions to clarify assumptions made by the speaker,poses questions to clarify assumptions made by the speaker,,,,,,,,Yes,Yes,,,
Literacy,Speaking and listening,Interacting,Level 6,,,LP9-SL-INT-Level6-06,6,questions others to evaluate accuracy of thinking or problem-solving processes,questions others to evaluate accuracy of thinking or problem-solving processes,,,,,,,,Yes,Yes,,,
Literacy,Speaking and listening,Interacting,Level 6,,,LP9-SL-INT-Level6-07,7,"uses language to align the listener with personal position (e.g. ""of course"", ""as you can imagine"", ""obviously"")",uses language to align the listener with personal position,"e.g. ""of course"", ""as you can imagine"", ""obviously""",,,,,,,Yes,Yes,,,
Literacy,Speaking and listening,Interacting,Level 7,,,LP9-SL-INT-Level7-01,1,interacts strategically and confidently with a broad range of interactional partners,interacts strategically and confidently with a broad range of interactional partners,,,,,,,,,,Yes,Yes,Yes
Literacy,Speaking and listening,Interacting,Level 7,,,LP9-SL-INT-Level7-02,2,"gives an extended explanation and evaluation of a complex concept, issue or process","gives an extended explanation and evaluation of a complex concept, issue or process",,,,,,,,,,Yes,Yes,Yes
Literacy,Speaking and listening,Interacting,Level 7,,,LP9-SL-INT-Level7-03,3,"justifies a personal stance, after analysis of arguments on a particular issue, using evidence and elaboration in a group situation","justifies a personal stance, after analysis of arguments on a particular issue, using evidence and elaboration in a group situation",,,,,,,,,,Yes,Yes,Yes
Literacy,Speaking and listening,Interacting,Level 7,,,LP9-SL-INT-Level7-04,4,uses language strategically to subtly align others to own perspective as appropriate to audience and purpose,uses language strategically to subtly align others to own perspective as appropriate to audience and purpose,,,,,,,,,,Yes,Yes,Yes
Literacy,Speaking and listening,Speaking,Level 1a,,,LP9-SL-SPK-Level1a-01,1,"uses vocalisation, body movement or facial expressions in response to personal feelings and sensory experiences (e.g. looks pleased to be sitting in a particular place)","uses vocalisation, body movement or facial expressions in response to personal feelings and sensory experiences",e.g. looks pleased to be sitting in a particular place,Yes,,,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 1b,,,LP9-SL-SPK-Level1b-01,1,uses informal responses to indicate a single message with familiar people in familiar environments (e.g. smiles when dinner is served and pushes away unwanted food) (see Interacting),uses informal responses to indicate a single message with familiar people in familiar environments (e.g. smiles when dinner is served and pushes away unwanted food) (see Interacting),,Yes,,,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 1c,,,LP9-SL-SPK-Level1c-01,1,"uses conventional behaviours to communicate intentionally with familiar people in different contexts (e.g. single words, gestures, pictorial representations) (see Interacting)","uses conventional behaviours to communicate intentionally with familiar people in different contexts (e.g. single words, gestures, pictorial representations) (see Interacting)",,Yes,,,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 1,,Crafting ideas,LP9-SL-SPK-Level1-01,1,"speaks in short phrases or simple sentences about familiar objects, people or events","speaks in short phrases or simple sentences about familiar objects, people or events",,Yes,,,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 1,,Crafting ideas,LP9-SL-SPK-Level1-02,2,"uses simple language to express feelings and needs and make simple requests (e.g. ""I’m thirsty""; ""Can I have a pencil?"")",uses simple language to express feelings and needs and make simple requests,"e.g. ""I’m thirsty""; ""Can I have a pencil?""",Yes,,,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 1,,Crafting ideas,LP9-SL-SPK-Level1-03,3,makes simple requests,makes simple requests,,Yes,,,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 1,,Crafting ideas,LP9-SL-SPK-Level1-04,4,indicates a preference when offered a choice (e.g. selects a fruit from a bowl),indicates a preference when offered a choice,e.g. selects a fruit from a bowl,Yes,,,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 1,,Crafting ideas,LP9-SL-SPK-Level1-05,5,"uses simple, appropriate personal greetings","uses simple, appropriate personal greetings",,Yes,,,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 1,,Vocabulary,LP9-SL-SPK-Level1-06,6,uses a small range of familiar words,uses a small range of familiar words,,Yes,,,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 1,,Vocabulary,LP9-SL-SPK-Level1-07,7,names common items from the environment or pictures,names common items from the environment or pictures,,Yes,,,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 1,,Vocabulary,LP9-SL-SPK-Level1-08,8,uses mainly correct word order in simple sentences,uses mainly correct word order in simple sentences,,Yes,,,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 2,,Crafting ideas,LP9-SL-SPK-Level2-01,1,retells personal events and experiences to peers and known adults,retells personal events and experiences to peers and known adults,,,Yes,Yes,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 2,,Crafting ideas,LP9-SL-SPK-Level2-02,2,shares feelings and thoughts about the events and characters in text,shares feelings and thoughts about the events and characters in text,,,Yes,Yes,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 2,,Crafting ideas,LP9-SL-SPK-Level2-03,3,retells key details or points from a learning experience or text viewed or heard,retells key details or points from a learning experience or text viewed or heard,,,Yes,Yes,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 2,,Crafting ideas,LP9-SL-SPK-Level2-04,4,uses mainly appropriate word order,uses mainly appropriate word order,,,Yes,Yes,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 2,,Crafting ideas,LP9-SL-SPK-Level2-05,5,uses appropriate volume for small audiences,uses appropriate volume for small audiences,,,Yes,Yes,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 2,,Crafting ideas,LP9-SL-SPK-Level2-06,6,"uses rehearsed phrases to introduce themselves (e.g. ""Good morning, my name is …"")",uses rehearsed phrases to introduce themselves,"e.g. ""Good morning, my name is …""",,Yes,Yes,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 2,,Vocabulary,LP9-SL-SPK-Level2-07,7,"uses simple connectives to join ideas (e.g. ""and then"") (see Grammar)","uses simple connectives to join ideas (e.g. ""and then"") (see Grammar)",,,Yes,Yes,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 2,,Vocabulary,LP9-SL-SPK-Level2-08,8,"uses familiar spoken language to communicate connected ideas (e.g. ""Let's draw. I'll get paper and pencils."")",uses familiar spoken language to communicate connected ideas,"e.g. ""Let's draw. I'll get paper and pencils.""",,Yes,Yes,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 2,,Vocabulary,LP9-SL-SPK-Level2-09,9,"uses simple adjectives and adverbs to add detail ( e.g. ""yellow"", ""quickly"") (see Grammar)","uses simple adjectives and adverbs to add detail ( e.g. ""yellow"", ""quickly"") (see Grammar)",,,Yes,Yes,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 2,,Vocabulary,LP9-SL-SPK-Level2-10,10,"uses a small range of qualifying adjectives (e.g. ""nice"", ""good"") (see Grammar)","uses a small range of qualifying adjectives (e.g. ""nice"", ""good"") (see Grammar)",,,Yes,Yes,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 2,,Vocabulary,LP9-SL-SPK-Level2-11,11,"uses simple language to compare and contrast (e.g. ""smaller"", ""more"")",uses simple language to compare and contrast,"e.g. ""smaller"", ""more""",,Yes,Yes,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 2,,Vocabulary,LP9-SL-SPK-Level2-12,12,"uses common time and causal connectives to relate ideas (e.g. ""then"", ""because"") (see Grammar)","uses common time and causal connectives to relate ideas (e.g. ""then"", ""because"") (see Grammar)",,,Yes,Yes,,,,,,,,
Literacy,Speaking and listening,Speaking,Level 3,,Crafting ideas,LP9-SL-SPK-Level3-01,1,"creates short texts using a few connected sentences, on familiar and learnt topics (e.g. retells a familiar story or describes a process)","creates short texts using a few connected sentences, on familiar and learnt topics",e.g. retells a familiar story or describes a process,,,Yes,Yes,,,,,,,
Literacy,Speaking and listening,Speaking,Level 3,,Crafting ideas,LP9-SL-SPK-Level3-02,2,speaks audibly and clearly to a familiar audience (e.g. own class),speaks audibly and clearly to a familiar audience,e.g. own class,,,Yes,Yes,,,,,,,
Literacy,Speaking and listening,Speaking,Level 3,,Crafting ideas,LP9-SL-SPK-Level3-03,3,uses some extended sentences,uses some extended sentences,,,,Yes,Yes,,,,,,,
Literacy,Speaking and listening,Speaking,Level 3,,Crafting ideas,LP9-SL-SPK-Level3-04,4,organises key ideas in logical sequence,organises key ideas in logical sequence,,,,Yes,Yes,,,,,,,
